symbol,config,mse_h1,mse_h5,mse_h22,mse_avg
.OMXC20,aug_n100_sn0.90,0.5118368953589765,0.589007799630721,0.672838740606579,0.5912278118654255
.OMXC20,aug_n100_sn0.95,0.5107183448440796,0.5866497376566013,0.6714218474259244,0.5895966433088684
.OMXHPI,HAR,0.2994429495706968,0.36335173326537207,0.4760299064180726,0.37960819641804716
.OMXHPI,HAR_Ridge,0.29936508300721204,0.36339751096919093,0.47607535500256026,0.3796126496596544
.OMXHPI,diag_n100_sn0.80,0.29776158877645753,0.3656795148993258,0.6231625487675772,0.42886788414778687
.OMXHPI,diag_n100_sn0.90,0.29625779739210834,0.36206392484679006,0.4756904620095404,0.37800406141614623
.OMXHPI,diag_n100_sn0.95,0.2954636784786184,0.3590130224128026,0.46498608398080693,0.37315426162407594
.OMXHPI,diag_n100_sn0.99,0.2949488142399245,0.35505736151910067,0.451399102521614,0.36713509276021306
.OMXHPI,diag_n200_sn0.90,0.29592444922686617,0.3622188869197895,0.47757388414857727,0.3785724067650776
.OMXHPI,diag_n200_sn0.95,0.2949171811501075,0.35753320021258933,0.4626060799126726,0.37168548709178983
.OMXHPI,diag_p2_n100_sn0.90,0.2986553621015964,0.3652974946627943,0.5212215463415081,0.39505813436863296
.OMXHPI,diag_p2_n100_sn0.95,0.2964913285811113,0.35985392335263294,0.5121340517832312,0.3894931012389919
.OMXHPI,aug_n100_sn0.90,0.2965728598558428,0.36176742091926933,0.47518704153606045,0.37784244077039086
.OMXHPI,aug_n100_sn0.95,0.29556430836591946,0.3579449850796186,0.5015999914240744,0.3850364282898708
.OMXSPI,HAR,0.2982256554960998,0.37716808618493436,0.46579631680524197,0.38039668616209205
.OMXSPI,HAR_Ridge,0.29810167852659164,0.37725143885118145,0.46554188476048775,0.380298334046087
.OMXSPI,diag_n100_sn0.80,0.29334623531293036,0.37889611982779703,0.5283269999556126,0.4001897850321134
.OMXSPI,diag_n100_sn0.90,0.2920884951678791,0.37464024458787964,0.4689074649631585,0.3785454015729724
.OMXSPI,diag_n100_sn0.95,0.2915735482884599,0.3711393582264952,0.4595018488779745,0.37407158513097655
.OMXSPI,diag_n100_sn0.99,0.29123568083674267,0.3673913571137878,0.44472596346136434,0.36778433380396497
.OMXSPI,diag_n200_sn0.90,0.2915283669217657,0.37443851000907996,0.4709037902238293,0.3789568890515583
.OMXSPI,diag_n200_sn0.95,0.29073122401594975,0.3713355174612088,0.4584560020001336,0.3735075811590974
.OMXSPI,diag_p2_n100_sn0.90,0.2960256112518761,0.3797818615147768,0.4721490789564015,0.3826521839076848
