sym,dgp_seed,horizon,alpha_idx,alpha,log10_alpha,oos_mse
.BSESN,42,1,24,100.0,2.0,0.49888996111543327
.BSESN,42,1,25,177.82794100389228,2.25,0.5012099242882672
.BSESN,42,1,26,316.22776601683796,2.5,0.5053817649718759
.BSESN,42,1,27,562.341325190349,2.75,0.5121463580801967
.BSESN,42,1,28,1000.0,3.0,0.5221691364846524
.BSESN,42,1,29,1778.2794100389228,3.25,0.536591781110772
.BSESN,42,1,30,3162.2776601683795,3.5,0.5587902259959524
.BSESN,42,1,31,5623.413251903491,3.75,0.5967265253446457
.BSESN,42,1,32,10000.0,4.0,0.6636863533019935
.BSESN,42,1,33,17782.794100389227,4.25,0.773559558140288
.BSESN,42,1,34,31622.776601683792,4.5,0.9283431623718517
.BSESN,42,1,35,56234.13251903491,4.75,1.1076411957539805
.BSESN,42,1,36,100000.0,5.0,1.2777040207744113
.BSESN,137,1,0,0.0001,-4.0,0.544247259887802
.BSESN,137,1,1,0.00017782794100389227,-3.75,0.5619040820044507
.BSESN,137,1,2,0.00031622776601683794,-3.5,1.6724421349057363
.BSESN,137,1,3,0.0005623413251903491,-3.25,0.5059918390586208
.BSESN,137,1,4,0.001,-3.0,0.5017456822053108
.BSESN,137,1,5,0.0017782794100389228,-2.75,0.5160192553896444
.BSESN,137,1,6,0.0031622776601683794,-2.5,0.5012520784512461
.BSESN,137,1,7,0.005623413251903491,-2.25,0.500768806247252
.BSESN,137,1,8,0.01,-2.0,0.5006926079312317
.BSESN,137,1,9,0.01778279410038923,-1.75,0.5005652921995167
.BSESN,137,1,10,0.03162277660168379,-1.5,0.5003426233388627
.BSESN,137,1,11,0.05623413251903491,-1.25,0.5000230692217927
.BSESN,137,1,12,0.1,-1.0,0.4996406654280144
.BSESN,137,1,13,0.1778279410038923,-0.75,0.4992491536117006
.BSESN,137,1,14,0.31622776601683794,-0.5,0.4988993394960517
.BSESN,137,1,15,0.5623413251903491,-0.25,0.49863225830731756
.BSESN,137,1,16,1.0,0.0,0.4984920297043734
.BSESN,137,1,17,1.7782794100389228,0.25,0.49853112230491187
.BSESN,137,1,18,3.1622776601683795,0.5,0.49879637445783764
.BSESN,137,1,19,5.623413251903491,0.75,0.49930970164383914
.BSESN,137,1,20,10.0,1.0,0.500057281690949
.BSESN,137,1,21,17.78279410038923,1.25,0.5009837818887934
.BSESN,137,1,22,31.622776601683793,1.5,0.5019960870470043
.BSESN,137,1,23,56.23413251903491,1.75,0.5030113528861895
.BSESN,137,1,24,100.0,2.0,0.5040497630276592
.BSESN,137,1,25,177.82794100389228,2.25,0.5053165684321379
.BSESN,137,1,26,316.22776601683796,2.5,0.5072487527133769
.BSESN,137,1,27,562.341325190349,2.75,0.5105906626101931
.BSESN,137,1,28,1000.0,3.0,0.5167671153676562
.BSESN,137,1,29,1778.2794100389228,3.25,0.5290030633305719
.BSESN,137,1,30,3162.2776601683795,3.5,0.554137235490517
.BSESN,137,1,31,5623.413251903491,3.75,0.6033225968033199
.BSESN,137,1,32,10000.0,4.0,0.6877381935801326
.BSESN,137,1,33,17782.794100389227,4.25,0.8083985903055008
.BSESN,137,1,34,31622.776601683792,4.5,0.9501045831965207
.BSESN,137,1,35,56234.13251903491,4.75,1.0899266861466743
.BSESN,137,1,36,100000.0,5.0,1.2109781024066084
.BSESN,256,1,0,0.0001,-4.0,0.8856499435597169
.BSESN,256,1,1,0.00017782794100389227,-3.75,0.44410558522714594
.BSESN,256,1,2,0.00031622776601683794,-3.5,2.729482611149264
.BSESN,256,1,3,0.0005623413251903491,-3.25,0.4380344289876035
.BSESN,256,1,4,0.001,-3.0,0.4371122318556894
.BSESN,256,1,5,0.0017782794100389228,-2.75,0.4362602958063082
.BSESN,256,1,6,0.0031622776601683794,-2.5,0.4353977752061309
.BSESN,256,1,7,0.005623413251903491,-2.25,0.43453929806267283
.BSESN,256,1,8,0.01,-2.0,0.4337320598317656
.BSESN,256,1,9,0.01778279410038923,-1.75,0.4330098880813498
.BSESN,256,1,10,0.03162277660168379,-1.5,0.432367597706235
.BSESN,256,1,11,0.05623413251903491,-1.25,0.43176754794703853
.BSESN,256,1,12,0.1,-1.0,0.4311658371313317
.BSESN,256,1,13,0.1778279410038923,-0.75,0.43054568168829704
.BSESN,256,1,14,0.31622776601683794,-0.5,0.429943487136244
.BSESN,256,1,15,0.5623413251903491,-0.25,0.4294356128151277
.BSESN,256,1,16,1.0,0.0,0.4290820779742402
.BSESN,256,1,17,1.7782794100389228,0.25,0.42888956677817996
.BSESN,256,1,18,3.1622776601683795,0.5,0.4288331643362164
.BSESN,256,1,19,5.623413251903491,0.75,0.4288945228031264
.BSESN,256,1,20,10.0,1.0,0.4290615921078166
.BSESN,256,1,21,17.78279410038923,1.25,0.42929488448019215
.BSESN,256,1,22,31.622776601683793,1.5,0.4295280477778995
.BSESN,256,1,23,56.23413251903491,1.75,0.4297308765263654
.BSESN,256,1,24,100.0,2.0,0.42997959704016253
.BSESN,256,1,25,177.82794100389228,2.25,0.4305054689371215
.BSESN,256,1,26,316.22776601683796,2.5,0.4317600670895406
.BSESN,256,1,27,562.341325190349,2.75,0.4345812586995077
.BSESN,256,1,28,1000.0,3.0,0.44069456235537074
.BSESN,256,1,29,1778.2794100389228,3.25,0.45394390278832075
.BSESN,256,1,30,3162.2776601683795,3.5,0.48200601397359977
.BSESN,256,1,31,5623.413251903491,3.75,0.536423520393599
.BSESN,256,1,32,10000.0,4.0,0.6280347247340854
.BSESN,256,1,33,17782.794100389227,4.25,0.7598355664629457
.BSESN,256,1,34,31622.776601683792,4.5,0.9244161748000421
.BSESN,256,1,35,56234.13251903491,4.75,1.1059378023722384
.BSESN,256,1,36,100000.0,5.0,1.282369077865795
.BVSP,42,1,0,0.0001,-4.0,0.7541750421055283
.BVSP,42,1,1,0.00017782794100389227,-3.75,0.7496875164637483
.BVSP,42,1,2,0.00031622776601683794,-3.5,0.7500643510021179
.BVSP,42,1,3,0.0005623413251903491,-3.25,0.7328575776800149
.BVSP,42,1,4,0.001,-3.0,0.731796432986722
.BVSP,42,1,5,0.0017782794100389228,-2.75,0.7308561171385289
.BVSP,42,1,6,0.0031622776601683794,-2.5,0.7299717793197388
.BVSP,42,1,7,0.005623413251903491,-2.25,0.72915952380759
.BVSP,42,1,8,0.01,-2.0,0.7284436502216388
.BVSP,42,1,9,0.01778279410038923,-1.75,0.7278293118385212
.BVSP,42,1,10,0.03162277660168379,-1.5,0.7273006201813846
.BVSP,42,1,11,0.05623413251903491,-1.25,0.7268380323613661
.BVSP,42,1,12,0.1,-1.0,0.7264324241290636
.BVSP,42,1,13,0.1778279410038923,-0.75,0.7260784594880575
.BVSP,42,1,14,0.31622776601683794,-0.5,0.7257581481419244
.BVSP,42,1,15,0.5623413251903491,-0.25,0.7254388669288026
.BVSP,42,1,16,1.0,0.0,0.7250920465581234
