sym,dgp_seed,horizon,alpha_idx,alpha,log10_alpha,oos_mse
.BSESN,42,1,30,3162.2776601683795,3.5,0.3410388761870338
.BSESN,42,1,31,5623.413251903491,3.75,0.3776628453627907
.BSESN,42,1,32,10000.0,4.0,0.4336420105047545
.BSESN,42,1,33,17782.794100389227,4.25,0.5089810811083805
.BSESN,42,1,34,31622.776601683792,4.5,0.5974400136295106
.BSESN,42,1,35,56234.13251903491,4.75,0.6873961606218651
.BSESN,42,1,36,100000.0,5.0,0.7663877653652675
.BSESN,137,1,0,0.0001,-4.0,0.28520991971608667
.BSESN,137,1,1,0.00017782794100389227,-3.75,0.2848846466270441
.BSESN,137,1,2,0.00031622776601683794,-3.5,2.0894830709308336
.BSESN,137,1,3,0.0005623413251903491,-3.25,0.2847915635801576
.BSESN,137,1,4,0.001,-3.0,0.28265805410467526
.BSESN,137,1,5,0.0017782794100389228,-2.75,0.2822049895977411
.BSESN,137,1,6,0.0031622776601683794,-2.5,0.281723788779077
.BSESN,137,1,7,0.005623413251903491,-2.25,0.28121002727549466
.BSESN,137,1,8,0.01,-2.0,0.28069890246554513
.BSESN,137,1,9,0.01778279410038923,-1.75,0.28024284872797806
.BSESN,137,1,10,0.03162277660168379,-1.5,0.2798789527014347
.BSESN,137,1,11,0.05623413251903491,-1.25,0.2796134423142641
.BSESN,137,1,12,0.1,-1.0,0.2794281081399293
.BSESN,137,1,13,0.1778279410038923,-0.75,0.2792898896023438
.BSESN,137,1,14,0.31622776601683794,-0.5,0.27916087597396616
.BSESN,137,1,15,0.5623413251903491,-0.25,0.2790103589050396
.BSESN,137,1,16,1.0,0.0,0.27882651775691747
.BSESN,137,1,17,1.7782794100389228,0.25,0.2786297159424058
.BSESN,137,1,18,3.1622776601683795,0.5,0.27847493251992367
.BSESN,137,1,19,5.623413251903491,0.75,0.27842273553830876
.BSESN,137,1,20,10.0,1.0,0.27849965798245113
.BSESN,137,1,21,17.78279410038923,1.25,0.2787013614643989
.BSESN,137,1,22,31.622776601683793,1.5,0.27904420913035505
.BSESN,137,1,23,56.23413251903491,1.75,0.2796363786416884
.BSESN,137,1,24,100.0,2.0,0.2807862755868284
.BSESN,137,1,25,177.82794100389228,2.25,0.2832241979395389
.BSESN,137,1,26,316.22776601683796,2.5,0.2884706739142777
.BSESN,137,1,27,562.341325190349,2.75,0.299066415089605
